EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	13:11:33	0	0.0200	0.033319709395412477	0.005290333095042152	0.9563	0.9563	0.9563	0.9162
2	13:11:40	0	0.0200	0.03571559510328263	0.0022972158999528024	0.9837	0.9891	0.9864	0.9731
3	13:11:46	1	0.0200	0.03688215054633467	0.004089621158674068	0.9727	0.9727	0.9727	0.9468
4	13:11:53	2	0.0200	0.04271030852883411	0.0026139650302636516	0.9725	0.9672	0.9699	0.9415
5	13:12:00	3	0.0200	0.03482736381049514	0.0036683013145408483	0.9672	0.9672	0.9672	0.9365
6	13:12:07	4	0.0200	0.03242856466235893	0.0015430616974448615	0.9835	0.9781	0.9808	0.9624
7	13:12:13	1	0.0100	0.026440363094866106	0.002922955302699442	0.9672	0.9672	0.9672	0.9365
8	13:12:20	0	0.0100	0.02495016732542668	0.0012060638405816688	0.9891	0.9945	0.9918	0.9838
9	13:12:28	1	0.0100	0.013307797265939595	0.0016661850244023024	0.9837	0.9891	0.9864	0.9731
10	13:12:34	2	0.0100	0.020408666929645734	0.0016499466006359503	0.9836	0.9836	0.9836	0.9677
11	13:12:40	3	0.0100	0.02053740792522392	0.000999700970960167	0.9836	0.9836	0.9836	0.9677
12	13:12:47	4	0.0100	0.026004720116173285	0.00125027056786405	0.9781	0.9781	0.9781	0.9572
13	13:12:54	0	0.0050	0.0189940341847017	0.00013543088051197423	1.0	1.0	1.0	1.0
14	13:13:01	1	0.0050	0.015447887635525013	0.000517306064611116	0.9891	0.9945	0.9918	0.9838
15	13:13:08	0	0.0050	0.022670917591057542	8.171643926378816e-05	1.0	1.0	1.0	1.0
16	13:13:15	1	0.0050	0.015273763704136741	0.00015221322456890674	0.9945	0.9945	0.9945	0.9891
17	13:13:21	2	0.0050	0.02534428589990865	0.00014219582835376272	0.9945	0.9945	0.9945	0.9891
18	13:13:27	3	0.0050	0.0184466573484825	0.00039613888015267056	0.989	0.9836	0.9863	0.973
19	13:13:34	0	0.0050	0.017269275303358485	1.052912026995166e-05	1.0	1.0	1.0	1.0
20	13:13:40	1	0.0050	0.018059536189243695	0.0007827243280711648	0.9835	0.9781	0.9808	0.9624
21	13:13:46	2	0.0050	0.016254684294403687	0.0002333366959272115	0.9945	0.9945	0.9945	0.9891
22	13:13:52	3	0.0050	0.02719999996436604	0.00028545819703250006	0.9945	0.9945	0.9945	0.9891
23	13:13:59	4	0.0050	0.020969325246676742	1.183599586847578e-05	1.0	1.0	1.0	1.0
24	13:14:06	0	0.0025	0.018909633852221656	7.009834336239642e-06	1.0	1.0	1.0	1.0
25	13:14:13	1	0.0025	0.0202234632275753	0.00015656551996795476	0.9945	0.9945	0.9945	0.9891